title	tokens	types	TTR	stopwords	content words	sad words	happy words	 relation sentiment
HP1.txt	84513	6152	7.28	43.42%	56.58%	2.73%	2.32%	 1.18
HP7.txt	200120	12197	6.09	65.39%	34.61%	3.60%	2.46%	 1.46
